Jobnumber	Jobname	Status	Started	Ended	Submitted	Command	User
475	AMV11I	completed	05/24/13:15:49:16	05/24/13:15:53:24	05/24/13:15:49:16	python /home/xchen/chencode/Betsy/scripts/run_protocol.py --protocol normalize_file --user XiaolingChen --job_name AMV11I --input input_signal_file:/home/xchen/chencode/upload/no_table.myfile0_path.95094b29a6b6ae8a.616c6c5f616d6c5f747261696e5f66696c742e676374.gct --parameters gene_center:no_gene_center --parameters gene_order:no_order --parameters gene_normalize:no_gene_normalize --parameters quantile:no_quantile --parameters predataset:no_predataset --parameters dwd:no_dwd --parameters preprocess:unknown_preprocess --parameters unique_genes:no_unique_genes --parameters filter:0 --parameters has_missing_value:zero_fill --parameters rename_sample:no_rename --parameters combat:no_combat --parameters format:tdf --parameters num_features:0 --parameters shiftscale:no_shiftscale --parameters is_logged:logged --parameters bfrm:no_bfrm	XiaolingChen
477	MEPA4X	completed	05/28/13:10:39:58	05/28/13:10:43:15	05/28/13:10:39:58	python /home/xchen/chencode/Betsy/scripts/run_protocol.py --protocol normalize_file --user XiaolingChen --job_name MEPA4X --input input_signal_file:/home/xchen/chencode/upload/no_table.myfile0_path.b74376f13f93ce08.616c6c5f616d6c5f747261696e5f66696c742e676374.gct --parameters gene_center:no_gene_center --parameters gene_order:no_order --parameters gene_normalize:no_gene_normalize --parameters quantile:no_quantile --parameters predataset:no_predataset --parameters dwd:no_dwd --parameters preprocess:unknown_preprocess --parameters unique_genes:no_unique_genes --parameters filter:0 --parameters has_missing_value:median_fill --parameters rename_sample:no_rename --parameters combat:no_combat --parameters format:tdf --parameters num_features:0 --parameters shiftscale:no_shiftscale --parameters is_logged:logged --parameters bfrm:no_bfrm	XiaolingChen
478	PV3JTB	completed	06/10/13:10:11:08	06/11/13:11:31:49	06/10/13:10:11:08	python /home/xchen/chencode/Betsy/scripts/run_protocol.py --protocol normalize_file --user JeffreyChang --job_name PV3JTB --input idat_files:/home/xchen/chencode/upload/no_table.myfile0_path.8b0358ae07eb6b19.746573745f696461742e7a6970.zip --parameters gene_center:no_gene_center --parameters gene_order:no_order --parameters gene_normalize:no_gene_normalize --parameters quantile:no_quantile --parameters predataset:no_predataset --parameters dwd:no_dwd --parameters unique_genes:no_unique_genes --parameters filter:0 --parameters rename_sample:no_rename --parameters combat:no_combat --parameters format:tdf --parameters num_features:0 --parameters shiftscale:no_shiftscale --parameters is_logged:logged --parameters bfrm:no_bfrm	JeffreyChang
479	TNSS81	completed	06/12 2:06PM	06/12 2:23PM	06/12 2:06PM	python /home/xchen/chencode/Betsy/scripts/run_protocol.py --protocol normalize_file --user XiaolingChen --job_name TNSS81 --input input_signal_file:/home/xchen/chencode/upload/no_table.myfile0_path.9d5d4aa39f4b0ad3.616c6c5f616d6c5f746573745f66696c742e676374.gct --parameters gene_center:no_gene_center --parameters gene_order:no_order --parameters gene_normalize:no_gene_normalize --parameters quantile:no_quantile --parameters predataset:no_predataset --parameters dwd:no_dwd --parameters preprocess:unknown_preprocess --parameters unique_genes:no_unique_genes --parameters filter:0 --parameters has_missing_value:zero_fill --parameters rename_sample:no_rename --parameters combat:no_combat --parameters format:tdf --parameters num_features:0 --parameters shiftscale:no_shiftscale --parameters is_logged:logged --parameters bfrm:no_bfrm	XiaolingChen
480	7GL6LJ	completed	06/1410:43AM	06/1410:45AM	06/1410:43AM	python /home/xchen/chencode/Betsy/scripts/run_protocol.py --protocol make_heatmap --user XiaolingChen --job_name 7GL6LJ --input input_signal_file:/home/xchen/chencode/upload/no_table.myfile0_path.aa87da972cbed7ef.7369676e616c5f756e6c6f67747261696e2e70636c.pcl --parameters gene_center:no_gene_center --parameters gene_order:no_order --parameters preprocess:unknown_preprocess --parameters unique_genes:no_unique_genes --parameters has_missing_value:zero_fill --parameters rename_sample:no_rename --parameters cluster_alg:no_cluster_alg --parameters filter:0 --parameters gene_normalize:no_gene_normalize --parameters quantile:no_quantile --parameters num_features:0 --parameters bfrm:no_bfrm --parameters predataset:no_predataset --parameters dwd:no_dwd --parameters combat:no_combat --parameters is_logged:logged --parameters shiftscale:no_shiftscale	XiaolingChen
483	ISWQSB	completed	06/1410:51AM	06/1410:54AM	06/1410:51AM	python /home/xchen/chencode/Betsy/scripts/run_protocol.py --protocol make_heatmap --user XiaolingChen --job_name ISWQSB --input gse_id:GSE8286 --parameters gene_center:no_gene_center --parameters gene_order:no_order --parameters preprocess:rma --parameters unique_genes:no_unique_genes --parameters has_missing_value:no_missing --parameters rename_sample:no_rename --parameters cluster_alg:no_cluster_alg --parameters filter:0 --parameters gene_normalize:no_gene_normalize --parameters quantile:no_quantile --parameters num_features:0 --parameters bfrm:no_bfrm --parameters predataset:no_predataset --parameters dwd:no_dwd --parameters combat:no_combat --parameters is_logged:logged --parameters shiftscale:no_shiftscale	XiaolingChen
960	TB794X	pending	 	 	11/01 3:02PM	python run_protocol.py --protocol normalize_file --in_datatype 'SignalFile' --param preprocess=rma --param 'filename=/home/xchen/chencode/betsy_test/all_aml_train.res' --in_datatype 'ClassLabelFile' --param 'cls_format=cls' --param 'filename=/home/xchen/chencode/betsy_test/all_aml_train.cls'  --out_param 'format=tdf' --out_param 'preprocess=rma' --out_param 'logged=yes'  --dry_run --network 'out.png'	xchen
961	9JR2TI	pending	 	 	11/01 3:10PM	python scripts/run_protocol.py --protocol normalize_file --in_datatype 'SignalFile' --param preprocess=rma --param 'filename=/home/xchen/chencode/betsy_test/all_aml_train.res' --in_datatype 'ClassLabelFile' --param 'cls_format=cls' --param 'filename=/home/xchen/chencode/betsy_test/all_aml_train.cls'  --out_param 'format=tdf' --out_param 'preprocess=rma' --out_param 'logged=yes'  --dry_run --network 'out.png'	xchen
962	TT4K2Y	pending	 	 	11/01 3:11PM	python /home/xchen/chencode/Betsy_2version/scripts/run_protocol.py --protocol normalize_file --in_datatype 'SignalFile' --param preprocess=rma --param 'filename=/home/xchen/chencode/betsy_test/all_aml_train.res' --in_datatype 'ClassLabelFile' --param 'cls_format=cls' --param 'filename=/home/xchen/chencode/betsy_test/all_aml_train.cls'  --out_param 'format=tdf' --out_param 'preprocess=rma' --out_param 'logged=yes'  --dry_run --network 'out.png'	xchen
963	L3S7F3	pending	 	 	11/01 3:12PM	python /home/xchen/chencode/Betsy_2version/scripts/run_protocol.py --protocol normalize_file --in_datatype 'SignalFile' --param preprocess=rma --param 'filename=/home/xchen/chencode/betsy_test/all_aml_train.res' --in_datatype 'ClassLabelFile' --param 'cls_format=cls' --param 'filename=/home/xchen/chencode/betsy_test/all_aml_train.cls'  --out_param 'format=tdf' --out_param 'preprocess=rma' --out_param 'logged=yes'  --dry_run --network 'out.png'	xchen
